#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      8.86e+01      1.94e-01      2.80e+00    2.0e-03
   2000      5.14e+00      1.60e-01      1.62e-01    2.0e-03
   4000      5.06e+00      6.31e-04      1.60e-01    2.0e-03
   6000      6.90e+00      5.70e-02      2.18e-01    2.0e-03
   8000      2.79e+00      5.07e-02      8.84e-02    2.0e-03
  10000      9.23e+00      7.70e-02      2.92e-01    2.0e-03
  12000      4.78e+00      5.08e-02      1.51e-01    2.0e-03
  14000      4.10e+00      3.42e-02      1.30e-01    2.0e-03
  16000      9.22e+00      9.84e-02      2.92e-01    2.0e-03
  18000      7.11e+00      1.13e-02      2.25e-01    2.0e-03
  20000      1.43e+00      5.34e-02      4.51e-02    2.0e-03
  22000      6.24e+00      3.78e-02      1.97e-01    2.0e-03
  24000      3.49e+00      1.60e-01      1.10e-01    2.0e-03
  26000      4.46e+00      1.67e-02      1.41e-01    2.0e-03
  28000      4.02e+00      1.03e-01      1.27e-01    2.0e-03
  30000      1.08e+01      1.21e-03      3.41e-01    2.0e-03
  32000      6.49e+00      6.41e-02      2.05e-01    2.0e-03
  34000      3.87e+00      4.70e-02      1.22e-01    2.0e-03
  36000      9.68e+00      1.32e-01      3.06e-01    2.0e-03
  38000      5.91e+00      4.10e-03      1.87e-01    2.0e-03
  40000      9.61e+00      3.29e-02      3.04e-01    2.0e-03
  42000      8.94e+00      1.48e-01      2.83e-01    2.0e-03
  44000      1.13e+01      1.43e-01      3.56e-01    2.0e-03
  46000      2.44e+00      3.67e-02      7.72e-02    2.0e-03
  48000      2.38e+00      1.24e-01      7.52e-02    2.0e-03
  50000      8.11e+00      1.43e-02      2.57e-01    2.0e-03
  52000      2.85e+00      2.34e-02      9.02e-02    2.0e-03
  54000      9.09e+00      3.62e-02      2.87e-01    2.0e-03
  56000      4.04e+00      1.50e-01      1.27e-01    2.0e-03
  58000      2.08e+00      6.00e-02      6.55e-02    2.0e-03
  60000      2.45e+00      2.28e-02      7.73e-02    2.0e-03
  62000      2.18e+00      1.01e-01      6.85e-02    2.0e-03
  64000      5.76e+00      3.16e-02      1.82e-01    2.0e-03
  66000      7.18e+00      3.44e-02      2.27e-01    2.0e-03
  68000      3.80e+00      3.61e-02      1.20e-01    2.0e-03
  70000      3.64e+00      5.00e-02      1.15e-01    2.0e-03
  72000      3.54e+00      4.37e-02      1.12e-01    2.0e-03
  74000      8.64e-01      2.44e-03      2.73e-02    2.0e-03
  76000      1.71e+00      3.14e-02      5.39e-02    2.0e-03
  78000      3.09e+00      5.36e-03      9.78e-02    2.0e-03
  80000      4.87e+00      9.47e-02      1.59e-01    1.9e-03
  82000      7.27e+00      7.90e-02      2.36e-01    1.9e-03
  84000      2.10e+00      2.36e-02      6.83e-02    1.9e-03
  86000      7.00e+00      7.99e-03      2.28e-01    1.9e-03
  88000      2.75e+00      4.80e-02      8.97e-02    1.9e-03
  90000      2.75e+00      8.31e-02      8.94e-02    1.9e-03
  92000      3.67e+00      9.70e-02      1.19e-01    1.9e-03
  94000      3.33e+00      3.21e-02      1.08e-01    1.9e-03
  96000      2.78e+00      4.41e-03      9.07e-02    1.9e-03
  98000      1.75e+00      1.81e-03      5.69e-02    1.9e-03
 100000      2.84e+00      1.64e-02      9.24e-02    1.9e-03
 102000      4.55e+00      1.90e-01      1.47e-01    1.9e-03
 104000      5.70e+00      3.87e-02      1.86e-01    1.9e-03
 106000      3.11e+00      5.06e-02      1.01e-01    1.9e-03
 108000      1.40e+00      4.86e-03      4.57e-02    1.9e-03
 110000      3.46e+00      1.30e-02      1.13e-01    1.9e-03
 112000      4.33e+00      3.53e-03      1.41e-01    1.9e-03
 114000      4.85e+00      4.89e-03      1.58e-01    1.9e-03
 116000      1.69e+00      2.74e-03      5.51e-02    1.9e-03
 118000      5.92e+00      8.28e-03      1.93e-01    1.9e-03
 120000      2.17e+00      2.83e-02      7.06e-02    1.9e-03
 122000      7.20e+00      2.83e-02      2.34e-01    1.9e-03
 124000      2.82e+00      1.04e-02      9.18e-02    1.9e-03
 126000      1.97e+00      4.56e-02      6.41e-02    1.9e-03
 128000      3.76e+00      2.81e-02      1.23e-01    1.9e-03
 130000      6.46e+00      1.56e-02      2.10e-01    1.9e-03
 132000      4.65e+00      1.03e-02      1.52e-01    1.9e-03
